repo,user_id,user_login,contributions,account_created_at,public_repos,followers
rust-lang/rust,7034308,cbeuw,104,2014-03-22T21:43:49Z,54,311
rust-lang/rust,5888473,stlankes,103,2013-11-08T12:59:57Z,61,98
rust-lang/rust,10577181,madsmtm,103,2015-01-17T20:47:51Z,172,132
rust-lang/rust,72159,kornelski,103,2009-04-09T14:50:19Z,390,2006
rust-lang/rust,3986214,steffahn,103,2013-03-27T15:02:54Z,42,91
rust-lang/rust,4193035,arora-aman,103,2013-04-18T15:44:43Z,24,80
rust-lang/rust,2467194,yoshuawuyts,101,2012-10-01T21:40:46Z,840,3161
rust-lang/rust,10530973,syvb,101,2015-01-14T12:34:30Z,179,66
rust-lang/rust,2101303,bkoropoff,101,2012-08-06T05:30:30Z,29,30
rust-lang/rust,450489,fhahn,101,2010-10-23T01:19:04Z,18,150
rust-lang/rust,13342132,CraftSpider,101,2015-07-15T01:33:10Z,97,35
rust-lang/rust,4726680,vipentti,99,2013-06-18T08:46:33Z,44,4
rust-lang/rust,22216761,JoshMcguigan,98,2016-09-15T12:23:25Z,126,217
rust-lang/rust,1297598,KamilaBorowska,97,2012-01-01T16:49:41Z,413,88
rust-lang/rust,933552,davidalber,97,2011-07-23T01:10:25Z,47,23
rust-lang/rust,329626,newpavlov,97,2010-07-12T13:48:27Z,78,174
rust-lang/rust,19316085,beepster4096,96,2016-05-11T23:38:16Z,26,7
rust-lang/rust,37087391,Urhengulas,96,2018-03-05T21:23:50Z,83,88
rust-lang/rust,18604588,tspiteri,96,2016-04-21T23:13:51Z,23,15
rust-lang/rust,193874,carols10cents,93,2010-02-01T14:48:19Z,167,1901
rust-lang/rust,994978,Ryman,93,2011-08-21T21:55:14Z,399,99
rust-lang/rust,8355914,zachs18,93,2014-08-04T20:51:47Z,93,12
rust-lang/rust,6868531,memoryruins,92,2014-03-06T03:04:25Z,99,0
rust-lang/rust,19915050,lolbinarycat,92,2016-06-13T18:34:37Z,90,11
rust-lang/rust,34988408,ibraheemdev,92,2017-12-31T18:54:35Z,35,626
rust-lang/rust,29509279,dianne,91,2017-06-17T18:51:42Z,4,0
rust-lang/rust,6376004,Y-Nak,91,2014-01-11T11:59:50Z,40,112
rust-lang/rust,663326,willcrichton,91,2011-03-11T03:02:36Z,181,988
rust-lang/rust,1641515,nyurik,90,2012-04-13T20:30:52Z,377,305
rust-lang/rust,2067774,davidbarsky,90,2012-07-30T22:35:14Z,101,302
rust-lang/rust,7803845,iDawer,90,2014-06-05T09:48:22Z,8,1
rust-lang/rust,3107142,Xiretza,90,2012-12-22T21:39:08Z,125,25
rust-lang/rust,24687641,kckeiks,89,2016-12-21T00:46:54Z,65,18
rust-lang/rust,45660393,GnomedDev,88,2018-12-06T12:42:20Z,78,64
rust-lang/rust,20269,durin42,87,2008-08-11T14:32:43Z,30,40
rust-lang/rust,30644300,jumbatm,86,2017-08-02T03:12:51Z,17,5
rust-lang/rust,68270294,SparrowLii,86,2020-07-14T07:26:57Z,16,90
rust-lang/rust,2311707,hanna-kruppe,85,2012-09-09T15:10:41Z,29,59
rust-lang/rust,19508,lht,85,2008-08-04T15:08:57Z,37,30
rust-lang/rust,6884440,dingxiangfei2009,84,2014-03-07T14:51:38Z,76,39
rust-lang/rust,32276130,J-ZhengLi,84,2017-09-25T18:19:17Z,23,18
rust-lang/rust,5758008,detrumi,84,2013-10-23T16:20:46Z,18,52
rust-lang/rust,117768111,gaurikholkar,84,2022-11-08T18:19:10Z,1,0
rust-lang/rust,803976,gilescope,83,2011-05-22T20:55:52Z,258,180
rust-lang/rust,2777107,Vannevelj,82,2012-11-12T09:47:27Z,45,49
rust-lang/rust,311082,mbebenita,81,2010-06-21T20:24:51Z,51,266
rust-lang/rust,38062690,Ezrashaw,80,2018-04-04T05:25:14Z,26,14
rust-lang/rust,5489149,jhgg,80,2013-09-18T18:46:16Z,95,651
rust-lang/rust,1309829,reitermarkus,80,2012-01-06T16:48:29Z,272,291
rust-lang/rust,392868,chris-morgan,80,2010-09-09T03:15:12Z,153,334
rust-lang/rust,1173131,scalexm,79,2011-11-04T18:56:27Z,23,66
rust-lang/rust,107947675,beetrees,79,2022-06-21T17:06:30Z,18,0
rust-lang/rust,9885558,leoyvens,79,2014-11-21T16:13:21Z,37,177
rust-lang/rust,6785936,mitaa,78,2014-02-25T19:02:04Z,17,2
rust-lang/rust,44697459,dswij,78,2018-11-02T09:16:50Z,39,20
rust-lang/rust,573768,barosl,78,2011-01-20T02:06:47Z,81,133
rust-lang/rust,8948701,semarie,77,2014-09-28T15:57:52Z,23,61
rust-lang/rust,12389383,ishitatsuyuki,77,2015-05-11T05:44:44Z,172,231
rust-lang/rust,12975677,rail-rain,77,2015-06-20T07:02:09Z,9,3
rust-lang/rust,30163784,jachris,77,2017-07-14T00:41:41Z,4,6
rust-lang/rust,3089613,eggyal,77,2012-12-20T12:11:48Z,54,8
rust-lang/rust,180104,tetsuharuohzeki,77,2010-01-11T15:56:23Z,103,127
